date,CHSI2__0,NASI2__0,EADM7__0,SCLM7__0,CLKM7__0,VALI2__0,NAPM7__0,DLDI4__0
51,268,3.33,257,185,61.2,8.21,156,55.9
52,266,3.31,257,185,61.4,8.04,156,55.9
53,266,3.26,257,185,61.3,8.21,155,56.2
54,265,3.28,257,185,61.2,8.67,156,56.2
55,265,3.28,256,184,61.3,8.46,156,57
56,264,3.26,256,185,62,8.53,156,57
57,264,3.27,257,185,61.4,8.42,156,57.6
58,266,3.27,257,185,61.4,8.39,157,57.6
59,267,3.23,257,184,61.6,8.42,157,57.1
60,264,3.24,257,184,62.3,8.21,157,57.1
61,264,3.25,255,184,62.8,8.04,157,57
62,264,3.25,256,184,63.1,8.14,156,57
63,265,3.26,256,183,62.4,8.11,157,57
64,266,3.25,255,183,63.2,7.9,156,57
65,266,3.25,255,182,63.8,8,157,57
66,266,3.26,255,183,63.4,8.07,157,57
67,263,3.26,255,182,63.5,8.07,157,56.8
68,264,3.26,255,182,63.5,8.04,157,56.8
69,265,3.26,256,182,63.4,8.07,156,56.7
70,264,3.27,255,181,63.7,8.14,156,56.7
71,265,3.27,256,182,63.7,8,155,56.8
72,264,3.27,256,181,63.5,8.11,155,56.8
73,264,3.25,256,180,63.4,7.82,155,56.7
74,261,3.26,256,180,63.4,7.97,155,56.7
75,262,3.28,256,180,63.5,7.97,155,57.4
76,261,3.27,256,180,64.5,7.93,154,57.4
77,262,3.27,255,180,65.9,7.97,154,57.9
78,263,3.26,255,180,66.4,7.86,154,57.9
79,263,3.27,255,179,66.8,7.9,154,58.3
80,261,3.28,255,179,66.9,7.86,154,58.3
81,261,3.31,254,179,66.9,7.9,153,58.2
82,263,3.33,255,179,67.1,7.86,153,58.2
83,261,3.32,255,179,67.4,7.9,153,57.9
84,261,3.31,255,178,67.2,7.86,153,57.9
85,263,3.32,254,178,67.1,7.97,153,58.5
86,261,3.31,254,178,67.6,8,152,58.5
87,262,3.27,254,178,66.3,8.14,152,58
88,263,3.27,254,178,66.4,8.18,152,58
89,262,3.28,254,177,64.7,8.25,152,58
90,263,3.29,254,177,63.9,8.25,152,58
91,260,3.3,254,177,63.7,8.46,152,58.2
92,260,3.28,254,177,62.8,8.39,151,58.2
93,260,3.31,254,177,63.1,8.42,152,58.2
94,259,3.27,253,176,63,8.46,151,58.2
95,261,3.28,253,176,62.8,8.49,151,58.2
96,261,3.28,252,176,62.8,8.53,151,58.2
97,260,3.25,252,175,63,8.53,151,58
98,258,3.24,253,175,62.8,8.6,151,58
99,259,3.25,253,175,63,8.56,151,57
100,259,3.24,253,175,65,8.46,151,57
101,258,3.23,252,175,65.9,8.42,151,57.1
102,258,3.19,253,175,67.1,8.46,150,57.1
103,258,3.17,252,174,66.8,8.42,149,56.8
104,258,3.17,252,174,67,8.21,149,56.8
105,257,3.15,252,174,67.2,8.25,149,56.8
106,258,3.17,252,174,67.2,8.49,149,56.8
107,257,3.16,251,174,67.4,8.74,149,57.1
108,259,3.16,251,174,67.5,8.92,149,57.1
109,258,3.18,250,174,67.6,9.16,148,57.3
110,259,3.18,250,173,68.1,8.99,148,57.3
111,260,3.18,250,173,67.9,8.99,148,57.3
112,259,3.18,250,173,68.1,8.99,147,57.3
113,260,3.17,249,172,68.4,8.78,147,57.3
114,258,3.18,249,172,68.5,8.81,147,57.3
115,259,3.21,249,172,68.7,8.85,147,57.4
116,259,3.22,249,172,70.1,8.81,147,57.4
117,258,3.22,249,172,70.8,8.88,147,57.4
118,257,3.24,248,171,70.8,8.92,146,57.4
119,258,3.24,248,172,71.1,8.85,146,57.4
120,255,3.26,248,171,71,9.02,146,57.4
121,255,3.24,248,171,71.5,8.92,146,57.4
122,254,3.23,249,171,71.4,8.88,145,57.4
123,255,3.25,249,171,72.2,8.85,145,57.3
124,254,3.24,248,171,72.4,8.88,145,57.3
125,254,3.24,248,171,71.9,8.78,145,57.4
126,254,3.23,248,171,71.4,8.7,143,57.4
127,253,3.21,248,171,69.8,8.81,143,57.6
128,253,3.19,248,171,68.5,8.78,144,57.6
129,253,3.19,248,170,67.7,8.92,144,57.3
130,253,3.18,248,170,67.4,8.74,142,57.3
131,254,3.18,249,170,67,8.81,143,57.3
132,254,3.21,250,170,67.1,8.78,143,57.3
133,256,3.25,250,170,66.6,8.78,142,57.1
134,256,3.25,250,170,66.9,8.88,142,57.1
135,253,3.21,250,170,66.6,8.95,142,57
136,255,3.23,250,170,66.9,8.99,142,57
137,255,3.25,251,169,66.9,8.95,142,57.3
138,255,3.26,250,169,66.5,8.78,141,57.3
139,255,3.26,251,169,66.6,8.74,141,43
140,255,3.26,251,169,66.9,8.63,141,43
141,254,3.27,250,168,66.8,8.63,141,43
142,253,3.27,250,168,66.9,8.63,141,43
143,254,3.27,251,168,67,8.53,140,42.9
144,255,3.27,250,168,67.4,8.42,140,42.9
145,253,3.3,251,168,67.4,8.32,140,42.9
146,253,3.24,251,168,66.8,8.21,140,42.9
147,253,3.23,251,168,66.8,8.18,139,42.7
148,254,3.24,249,168,66.9,8.04,139,42.7
149,252,3.23,248,168,66.8,7.97,139,41.8
150,253,3.24,248,168,66.6,7.75,138,41.8
151,253,3.24,247,168,66.6,7.61,138,41.8
152,253,3.25,246,168,66.6,7.51,138,41.8
153,252,3.25,247,168,66.4,7.4,138,41.4
154,253,3.26,246,168,65.1,7.3,137,41.4
155,254,3.26,245,168,65,7.3,137,41.4
156,256,3.29,244,168,64.5,7.26,137,41.4
157,256,3.31,244,167,64.7,7.3,137,41.5
158,253,3.33,244,167,64.6,7.33,136,41.5
159,255,3.33,243,167,64.5,7.44,136,41.3
160,254,3.31,244,167,64.6,7.44,136,41.3
161,255,3.32,243,167,64.7,7.51,136,42
162,254,3.32,243,167,64.8,7.58,136,42
163,254,3.32,242,166,64.7,7.61,135,41.7
164,252,3.32,242,166,64.6,7.68,135,41.7
165,253,3.33,242,166,64.6,7.72,135,41.3
166,253,3.33,242,166,64.6,7.79,135,41.3
167,253,3.31,242,166,64.7,7.68,134,41.2
168,253,3.31,241,166,64.7,6.98,134,41.2
169,250,3.31,241,165,69.2,7.75,134,41.1
170,251,3.31,241,165,68.8,7.72,134,41.1
171,250,3.3,241,165,68.5,7.65,133,40.1
172,248,3.26,241,165,66,7.58,134,40.1
173,248,3.26,240,165,63.8,7.47,133,39.5
174,247,3.26,240,165,64.4,7.37,133,39.5
175,247,3.25,239,165,65,7.4,133,38.6
176,248,3.26,240,164,64.5,7.23,133,38.6
177,247,3.25,238,165,64.2,7.19,132,38.6
178,249,3.26,237,164,64.2,7.05,133,38.6
179,247,3.25,236,164,64.4,7.09,133,38.4
180,249,3.25,236,164,64.2,7.02,132,38.4
181,247,3.28,235,164,64.2,6.87,132,38.5
182,249,3.26,235,164,64.1,7.16,132,38.5
183,247,3.28,235,163,64,7.4,132,38.5
184,247,3.26,234,164,64.2,7.26,132,38.5
185,245,3.3,234,163,63.8,7.44,132,38.5
186,246,3.31,233,163,64.2,7.23,132,38.5
187,246,3.32,234,162,64.1,7.23,131,38.3
188,244,3.33,233,163,63,7.23,132,38.3
189,244,3.33,232,163,61.6,7.19,131,38.2
190,245,3.33,232,162,61.1,7.12,131,38.2
191,245,3.3,232,162,61,7.19,131,38.2
192,242,3.33,232,161,60.4,7.26,131,38.2
193,242,3.34,232,161,60.5,7.16,131,38.3
194,241,3.34,232,162,60.9,7.23,130,38.3
195,241,3.32,232,161,60.5,7.23,130,38.1
196,239,3.33,232,161,60.5,7.3,130,38.1
197,239,3.34,232,161,61.4,7.26,130,37.7
198,239,3.3,233,161,60.8,7.3,129,37.7
199,239,3.31,233,161,61,7.3,129,37.3
200,239,3.31,234,161,61.2,7.51,128,37.3
201,238,3.29,234,161,61.4,7.37,129,37.1
202,240,3.29,234,161,61.7,7.47,129,37.1
203,238,3.29,233,160,60.3,7.4,129,37
204,241,3.29,233,161,59.6,7.23,129,37
205,239,3.29,233,160,59.4,7.3,129,37
206,238,3.28,233,161,59.2,7.3,129,37
207,240,3.28,232,161,59.2,7.26,129,36.7
208,237,3.28,232,160,58.8,7.37,129,36.7
209,240,3.28,231,160,59.3,7.51,129,36.7
210,239,3.28,231,159,58.8,7.58,129,36.7
211,238,3.29,230,159,58.6,7.68,129,36.7
212,239,3.29,230,159,59.5,7.72,128,36.7
213,239,3.31,229,159,59.2,7.72,129,36.5
214,239,3.31,228,158,58.5,7.79,128,36.5
215,239,3.32,228,158,58.3,7.86,128,36.4
216,239,3.32,227,158,58.5,7.9,128,36.4
217,236,3.3,227,158,58.4,7.93,128,36.4
218,236,3.31,226,157,58.5,8.35,128,36.4
219,236,3.31,226,157,58.5,8.46,128,36
220,236,3.27,226,157,58.7,8.6,128,36
221,236,3.31,226,157,58.8,8.6,128,35.7
222,236,3.32,226,157,58.5,8.56,128,35.7
223,237,3.33,225,157,59,8.28,127,35.7
224,235,3.33,226,156,58.7,8.07,128,35.7
225,235,3.32,225,157,59,8.07,127,35.8
226,234,3.33,225,156,58.1,7.97,128,35.8
227,235,3.32,224,156,57.7,7.82,127,35.7
228,235,3.31,224,156,56.7,7.75,127,35.7
229,235,3.31,225,156,56,7.68,127,35.7
230,235,3.3,224,155,55.9,7.65,127,35.7
231,232,3.31,224,155,55.7,7.61,127,35.9
232,232,3.3,223,155,55.7,7.61,128,35.9
233,233,3.3,225,155,55.4,7.65,127,35.8
234,233,3.29,224,154,55.6,7.58,127,35.8
235,233,3.28,223,154,55.3,7.58,127,35.9
236,233,3.28,223,154,55.2,7.68,127,35.9
237,232,3.27,223,154,55.3,7.54,127,35.9
238,232,3.28,222,154,55.1,7.47,127,35.9
239,232,3.27,222,154,55,7.44,127,36.1
240,232,3.26,222,153,55,7.37,126,36.1
241,231,3.3,222,154,55,7.33,126,36.1
242,231,3.29,222,153,55.1,7.3,126,36.1
243,231,3.26,222,152,55.2,7.51,126,35.6
244,230,3.27,222,152,55,7.23,126,35.6
245,230,3.26,222,152,55.1,7.26,126,35.3
246,228,3.27,221,153,55.7,7.19,126,35.3
247,228,3.28,221,152,55.2,7.16,126,35.3
248,228,3.26,220,153,55.4,7.05,126,35.3
249,227,3.25,219,152,54.5,6.98,126,35.3
250,228,3.26,218,152,54.9,6.94,126,35.3
251,228,3.26,218,152,54.2,6.91,125,35.3
252,228,3.26,216,152,53.7,7.05,125,35.3
253,227,3.27,215,152,53.3,6.94,125,35.3
254,227,3.28,214,151,53.3,7.02,125,35.3
255,226,3.28,213,152,53.1,7.02,125,35.2
256,226,3.28,212,151,53.1,6.87,125,35.2
257,226,3.28,212,151,53.1,6.98,125,35.2
258,225,3.28,211,151,53.1,7.05,124,35.2
259,225,3.28,211,151,53.9,7.19,125,34.9
260,225,3.29,211,150,53.3,7.16,124,34.9
261,222,3.29,211,150,52.7,7.23,124,35.2
262,222,3.29,211,150,52.8,7.44,125,35.2
263,222,3.3,211,150,53,7.3,125,35.2
264,222,3.31,211,150,52.8,7.37,124,35.2
265,220,3.31,211,150,53.1,7.33,124,35.1
266,220,3.31,211,149,53,7.33,124,35.1
267,220,3.3,211,150,52.8,7.44,124,34.8
268,218,3.3,211,150,52.6,7.47,124,34.8
269,219,3.26,211,150,53.2,7.51,124,34.8
270,219,3.28,211,150,53.2,7.47,124,34.8
271,217,3.29,211,147,53.1,7.51,124,34.6
272,218,3.28,211,147,53.3,7.54,124,34.6
273,218,3.29,212,147,53.1,7.51,124,34.8
274,218,3.29,212,146,53,7.47,124,34.8
275,216,3.32,211,146,52.1,7.44,123,34.8
276,217,3.32,209,146,51.5,7.37,123,34.8
277,216,3.32,210,146,50.7,7.37,123,34.7
278,217,3.32,209,146,50.3,7.3,123,34.7
279,216,3.32,208,146,50.1,7.3,123,34.6
280,216,3.33,208,146,49.9,7.33,123,34.6
281,216,3.33,207,146,49.7,7.33,123,34.5
282,215,3.33,207,146,49.8,7.33,123,34.5
283,214,3.32,207,145,49.8,7.4,123,34.3
284,213,3.32,206,145,49.8,7.44,123,34.3
285,213,3.33,206,145,50.5,7.51,123,34.2
286,213,3.33,206,145,49.6,7.47,123,34.2
287,212,3.33,206,145,49.8,7.4,122,34.1
288,211,3.33,206,144,49.6,7.44,122,34.1
289,211,3.33,206,143,50.3,7.47,122,34.1
290,211,3.33,206,143,49.9,7.51,122,34.1
291,211,3.33,205,143,50.5,7.58,122,34.1
292,211,3.31,205,144,51,7.51,122,34.1
293,212,3.31,204,143,51.4,7.51,122,33.5
294,210,3.28,205,144,51.5,7.47,122,33.5
295,211,3.34,205,144,51.4,7.37,122,33.4
296,210,3.3,204,143,51.9,7.3,122,33.4
297,211,3.33,204,144,53.4,7.23,122,33.5
298,212,3.34,203,144,51.9,7.3,122,33.5
299,210,3.31,204,144,52.1,6.77,122,33.6
300,208,3.33,204,144,52.1,7.02,122,33.6
301,208,3.33,202,145,52,6.94,121,33.8
302,209,3.33,203,144,52.1,7.19,122,33.8
303,210,3.33,202,145,52,6.98,121,33.8
304,211,3.31,202,145,52.1,7.02,121,33.8
305,210,3.31,202,146,52.5,7.19,121,33.8
306,209,3.28,202,146,52.3,7.05,121,33.8
307,208,3.25,203,147,52.6,7.09,121,33.7
308,208,3.25,203,147,52.6,7.19,121,33.7
309,207,3.24,204,147,52.5,7.16,121,33.8
310,208,3.24,205,148,52.4,7.3,122,33.8
311,207,3.3,207,148,52.7,7.12,121,33.8
312,207,3.3,209,148,52.7,7.23,121,33.8
313,206,3.25,209,149,52.8,6.94,121,33.7
314,205,3.28,209,150,52.4,6.87,121,33.7
315,208,3.26,208,149,52.4,6.73,121,33.3
316,207,3.28,208,150,52.3,6.59,121,33.3
317,208,3.26,209,151,52.3,6.49,121,32.4
318,208,3.23,210,151,53.3,6.28,121,32.4
319,206,3.23,211,151,52.8,6.21,121,32.4
320,209,3.2,212,151,52.5,6.35,121,32.4
321,208,3.25,214,151,52.8,6.25,120,30.4
322,209,3.25,215,151,52.6,6.18,121,30.4
323,210,3.27,216,151,52.4,6.08,120,31.7
324,211,3.28,217,150,52.3,6.01,120,31.7
325,211,3.27,218,150,52.3,5.86,120,32.4
326,212,3.26,218,150,52.4,6.04,120,32.4
327,213,3.26,218,149,51.4,5.77,120,32.6
328,214,3.24,218,149,51.7,5.8,120,32.6
329,216,3.23,218,148,51.5,5.74,119,32.6
330,215,3.24,218,147,51.3,5.71,120,32.6
331,216,3.22,217,148,51.3,5.63,120,32.6
332,216,3.24,216,147,50.8,5.66,120,32.6
333,218,3.21,216,146,51.1,5.49,120,32.6
334,217,3.2,216,146,51,5.54,120,32.6
335,218,3.2,215,145,51.3,5.49,120,32.6
336,220,3.24,214,145,52.1,5.46,120,32.6
337,218,3.23,213,144,51.8,5.4,120,32.6
338,219,3.22,214,144,52.1,5.49,119,32.6
339,219,3.22,212,143,52.1,5.49,120,31.7
340,219,3.24,211,143,51.9,5.49,120,31.7
341,218,3.21,210,142,51.7,5.37,120,31.2
342,218,3.23,208,142,51.7,5.31,119,31.2
343,220,3.23,209,142,49.7,5.29,120,31.2
344,219,3.24,208,142,49.3,5.29,119,31.2
345,221,3.24,207,141,49.2,5.26,119,31.2
346,219,3.25,206,141,49.1,5.2,119,31.2
347,219,3.28,205,141,48.9,5.26,119,31.2
348,219,3.28,203,141,48.7,5.34,119,31.2
349,219,3.3,202,140,49,5.26,119,31.2
350,218,3.3,202,140,49.2,5.31,119,31.2
351,218,3.29,201,139,49.2,5.37,119,31.1
352,216,3.29,202,139,49.6,5.34,119,31.1
353,216,3.26,200,139,49.1,5.46,119,31
354,216,3.27,199,139,48.9,5.57,119,31
355,215,3.29,198,139,48.7,5.51,119,31
356,214,3.29,197,139,48.7,5.54,119,31
357,212,3.3,196,138,48.6,5.6,119,30.8
358,213,3.31,196,138,48.1,5.6,119,30.8
359,212,3.31,196,138,47.1,5.77,119,31
360,212,3.3,194,138,46.7,5.77,119,31
361,210,3.29,195,138,46.4,5.71,119,30.8
362,209,3.3,194,138,46.1,5.71,118,30.8
363,208,3.3,194,138,46.4,5.71,118,30.1
364,208,3.29,194,138,46.2,5.91,118,30.1
365,208,3.3,194,138,46.2,5.86,119,29
366,208,3.32,194,137,46.1,6.04,118,29
367,206,3.29,194,137,45.8,5.89,119,28.7
368,207,3.28,195,138,45.5,5.94,119,28.7
369,205,3.27,194,137,42.9,6.04,119,29.1
370,204,3.27,193,137,41.8,5.89,118,29.1
371,205,3.28,193,137,41.1,5.83,119,28.7
372,204,3.29,193,137,40.6,5.8,119,28.7
373,203,3.29,194,137,40.6,5.91,119,28.6
374,201,3.29,194,137,40.6,6.01,119,28.6
375,200,3.29,193,137,40.6,5.8,118,28.7
376,201,3.26,194,137,40.5,5.91,118,28.7
377,200,3.28,194,137,40,5.94,118,28.4
378,199,3.28,192,137,39.6,5.98,118,28.4
379,199,3.29,192,136,39.3,5.74,118,28.4
380,199,3.29,191,136,39.5,5.69,118,28.4
381,200,3.29,189,136,39.3,5.71,118,28.3
382,199,3.3,189,137,39.2,5.63,118,28.3
383,199,3.29,188,137,39.2,5.69,119,28.4
384,197,3.29,187,137,39.2,5.54,119,28.4
385,196,3.3,186,136,39.5,5.49,119,28.4
386,196,3.31,186,136,39.6,5.49,119,28.4
387,197,3.3,186,135,39.6,5.51,119,28.7
388,196,3.31,186,136,37.9,5.51,119,28.7
389,194,3.31,186,136,37.6,5.37,118,28.4
390,195,3.28,186,136,37.1,5.29,118,28.4
391,194,3.3,185,130,37.6,5.17,119,29
392,193,3.29,184,130,37.3,5.11,123,29
393,194,3.3,183,130,34.4,5.11,123,28.4
394,193,3.29,184,130,33.4,5.11,123,28.4
395,194,3.27,182,130,32.5,5.2,122,28.4
396,191,3.28,182,129,31.1,5.06,122,28.4
397,191,3.28,181,130,30.4,5.14,122,28.2
398,192,3.29,181,130,30.1,5.11,122,28.2
399,192,3.29,180,130,29.8,5,122,28.3
400,190,3.3,179,130,29.4,5,122,28.3
401,191,3.29,179,130,29.3,5.14,122,28.3
402,189,3.29,178,129,29,5.06,122,28.3
403,189,3.29,177,130,29,5.08,122,28.7
404,188,3.29,177,130,29,5.17,122,28.7
405,188,3.3,176,129,29.1,5.23,122,28.9
406,188,3.31,176,129,29.4,5.4,122,28.9
407,188,3.3,176,129,29.8,5.2,122,28.7
408,186,3.31,175,130,29.9,5.26,121,28.7
409,185,3.33,176,129,29.9,5.23,122,29
410,184,3.33,175,129,30.1,5.29,122,29
411,184,3.33,175,130,30.3,5.17,122,30.3
412,183,3.28,174,130,31.1,5.31,122,30.3
413,184,3.34,175,129,37.1,5.29,122,30.7
414,182,3.31,176,129,40.8,5.26,122,30.7
415,182,3.32,175,129,40.8,5.29,122,30.5
416,184,3.32,175,129,42.6,5.43,123,30.5
417,182,3.31,175,129,42.4,5.66,123,30.4
418,181,3.27,175,129,42.2,5.71,123,30.4
419,180,3.34,176,129,42.2,5.71,123,30.7
420,181,3.34,175,129,37,5.6,123,30.7
421,180,3.32,174,130,36.7,5.63,123,30.7
422,180,3.32,174,129,35.9,5.66,124,30.7
423,179,3.31,173,130,35.5,5.57,124,30.7
424,180,3.27,173,130,35.9,5.54,124,30.7
425,179,3.32,175,130,35.6,5.91,124,31
426,179,3.31,177,129,35.2,6.08,123,31
427,180,3.3,179,129,34.9,6.38,124,31.2
428,179,3.29,180,129,35.2,6.38,124,31.2
429,179,3.28,182,130,35.2,6.56,124,31.4
430,179,3.28,182,130,35.8,6.7,124,31.4
431,179,3.28,183,130,36.2,6.66,124,31.5
432,179,3.28,183,130,36.2,6.73,124,31.5
433,179,3.27,183,130,36.2,6.66,124,33.9
434,178,3.26,183,130,36.4,6.49,124,33.9
435,179,3.26,183,130,36.5,6.56,124,34.4
436,179,3.26,183,131,36.7,6.35,124,34.4
437,181,3.27,182,130,37.1,6.31,124,34.4
438,182,3.26,182,130,36.8,6.08,125,34.4
439,182,3.27,181,130,36.8,6.08,125,34.8
440,178,3.27,181,131,36.5,6.01,124,34.8
441,179,3.27,180,130,36.7,5.94,124,34.8
442,180,3.26,180,130,36.7,5.94,125,34.8
443,180,3.27,180,130,38.5,6.01,125,35
444,180,3.24,179,130,39.6,5.91,125,35
445,180,3.27,179,130,40.8,6.08,125,35.1
446,180,3.27,179,130,39.8,6.18,125,35.1
447,181,3.27,179,130,40.1,6.25,125,35.1
448,181,3.27,179,130,40,6.49,125,35.1
449,181,3.27,179,130,40.1,6.77,125,35.1
450,180,3.27,179,129,40.5,6.94,126,35.1
451,179,3.27,179,130,40.6,7.33,126,35.2
452,180,3.28,179,129,41.5,7.47,126,35.2
453,181,3.28,178,130,40.5,7.61,126,35.2
454,181,3.28,178,130,41,7.79,125,35.2
455,180,3.28,178,129,41.6,7.9,126,35.2
456,180,3.28,178,129,42,8.04,126,35.2
457,180,3.29,178,130,42,8.14,126,35.3
458,180,3.32,178,130,42.2,8.25,126,35.3
459,179,3.31,179,129,44.1,8.32,126,34.8
460,178,3.25,179,129,45.8,8.63,127,34.8
461,178,3.26,180,130,46.5,8.56,126,34.6
462,178,3.24,181,129,46.8,8.63,126,34.6
463,177,3.26,183,129,46.4,8.74,126,34.4
464,177,3.26,184,129,48,8.78,126,34.4
465,177,3.29,186,130,49,8.81,126,34.4
466,178,3.3,187,130,49,8.78,126,34.4
467,177,3.29,190,130,49.5,8.88,126,34.5
468,178,3.28,190,130,49.5,8.81,126,34.5
469,179,3.3,191,130,49.6,8.81,126,34.1
470,180,3.31,191,129,49.5,8.85,126,34.1
471,180,3.31,192,130,49.9,9.09,126,34
472,178,3.3,192,130,50.3,9.13,127,34
473,179,3.3,192,130,50,9.23,126,33.9
474,180,3.3,191,130,49.9,9.23,127,33.9
475,180,3.3,191,129,49.8,9.34,127,33.8
476,181,3.31,191,130,49.8,9.48,127,33.8
477,182,3.32,190,129,49.5,9.44,126,33.8
478,183,3.32,190,129,49.8,9.37,126,33.8
479,183,3.31,190,129,49.5,9.51,126,33.9
480,184,3.29,190,129,49.6,9.37,126,33.9
481,184,3.33,191,130,49.2,9.44,126,33.9
482,183,3.29,190,130,49.3,9.2,126,33.9
483,185,3.31,191,129,49.5,9.13,126,33.7
484,184,3.28,192,130,49.7,9.02,126,33.7
485,186,3.28,192,129,49.6,8.99,126,33.4
486,185,3.28,193,129,49.6,8.88,126,33.4
487,186,3.29,194,129,49.5,8.85,125,33.5
488,186,3.26,195,129,48.9,8.7,126,33.5
489,185,3.3,195,130,48.6,8.74,125,33.4
490,185,3.3,196,130,48.9,8.67,126,33.4
491,187,3.29,197,130,49.1,8.6,126,33.4
492,188,3.29,197,130,48.9,8.46,126,33.4
493,188,3.3,198,130,45.2,8.25,126,33.4
494,188,3.31,198,130,43.2,8.18,126,33.4
495,189,3.32,198,129,43.8,8.11,126,33.3
496,189,3.32,199,130,40.8,7.97,125,33.3
497,188,3.32,198,129,41.6,7.93,126,33.3
498,189,3.32,198,130,38.7,7.79,126,33.3
499,190,3.32,199,130,38.8,7.79,126,33.3
500,191,3.33,199,130,37.9,7.75,126,33.3
501,191,3.34,199,130,38.7,7.61,126,33.3
502,190,3.34,198,130,38,7.51,126,33.3
503,192,3.34,197,130,37.4,7.47,126,33.3
504,192,3.34,196,130,37.9,7.37,126,33.3
505,191,3.3,196,130,37.4,7.33,126,33.3
506,192,3.31,195,131,36.7,7.19,126,33.3
507,194,3.31,194,130,36.7,6.98,126,33.3
508,193,3.29,193,130,35.8,6.73,126,33.3
509,193,3.31,193,130,36.7,6.66,126,33.3
510,194,3.3,190,130,34.6,6.45,127,33.3
511,194,3.3,189,131,36.8,6.18,126,33.2
512,193,3.3,188,130,37.4,6.25,126,33.2
513,193,3.3,187,130,37.7,6.18,126,33
514,194,3.32,186,131,37.4,6.28,126,33
515,195,3.3,186,131,37.6,6.08,126,33.3
516,195,3.31,185,131,37.3,6.18,126,33.3
517,193,3.31,184,131,37.6,5.98,126,33.3
518,192,3.31,185,131,38.5,6.11,127,33.3
519,192,3.31,184,131,37.6,5.98,127,33.3
520,193,3.31,185,131,38.5,6.11,127,33.3
521,193,3.3,184,131,37.4,6.01,126,33.3
522,191,3.29,183,131,38.2,6.08,126,33.3
523,192,3.28,183,130,38.2,5.98,127,33.3
524,192,3.27,183,131,38.2,5.94,127,33.3
525,191,3.27,183,131,38.4,5.94,127,33.3
526,190,3.27,183,131,38.2,5.89,126,33.3
527,190,3.27,183,131,38,5.86,127,33.3
528,189,3.27,182,131,38,5.83,127,33.3
529,189,3.29,182,131,38.2,5.86,126,33.3
530,188,3.3,182,131,38.4,5.91,126,33.3
531,187,3.3,182,131,37.9,5.89,126,33.3
532,187,3.3,182,131,37,5.89,127,33.3
533,185,3.3,183,131,37.9,5.91,126,34.1
534,185,3.3,184,131,37.7,5.89,126,34.1
535,185,3.28,184,130,37.6,5.86,127,34.3
536,184,3.29,184,131,37.3,5.8,127,34.3
537,184,3.28,185,130,37.4,5.86,127,34.4
538,183,3.26,185,131,37,5.86,127,34.4
539,183,3.3,184,131,37.1,5.86,127,34.7
540,182,3.3,184,131,37.1,5.86,127,34.7
541,183,3.29,183,131,37,5.89,126,34.7
